pickup_datetime,dropoff_datetime,passenger_count,trip_distance
2023-01-06 04:07:07,2023-01-01 04:31:21,1,3.92
2023-01-06 04:10:23,2023-01-01 04:39:08,1,4.50
2023-01-06 04:09:57,2023-01-01 04:15:37,1,0.83
2023-01-06 04:34:02,2023-01-01 04:47:43,1,1.92
2023-01-06 05:01:20,2023-01-01 05:23:49,1,6.99
2023-01-06 05:21:07,2023-01-01 05:22:06,5,0.00
2023-01-06 05:40:32,2023-01-01 05:45:02,5,1.15
2023-01-06 05:10:55,2023-01-01 05:17:55,1,1.63
2023-01-06 05:25:07,2023-01-01 05:53:25,1,6.09
2023-01-06 05:13:15,2023-01-01 05:24:52,1,1.36
2023-01-06 05:29:35,2023-01-01 05:29:37,1,0.00
2023-01-06 05:00:07,2023-01-01 05:02:13,1,0.37
2023-01-06 05:16:49,2023-01-01 05:29:10,1,2.88
2023-01-06 05:44:20,2023-01-01 05:58:03,1,4.25
2023-01-06 05:34:37,2023-01-01 05:46:47,5,4.58
2023-01-06 05:51:55,2023-01-01 05:55:59,1,2.07
2023-01-06 05:01:33,2023-01-01 05:19:40,3,5.20
2023-01-06 05:51:25,2023-01-01 06:00:25,3,0.97
2023-01-07 05:04:56,2023-01-01 05:24:21,1,11.00
2023-01-07 06:51:04,2023-01-01 06:54:23,1,0.58
2023-01-07 07:02:38,2023-01-01 07:08:21,1,1.15
2023-01-07 06:46:08,2023-01-01 06:55:03,1,5.40
2023-01-07 06:56:40,2023-01-01 06:58:33,1,0.56
2023-01-07 06:04:55,2023-01-01 06:04:56,1,0.00
2023-01-07 06:36:05,2023-01-01 06:58:19,2,7.63
2022-12-07 14:10:49,2022-12-09 14:22:26,1,5.37
2023-01-07 06:50:44,2023-01-01 07:01:00,1,2.10
2023-01-07 06:46:18,2023-01-01 06:51:17,1,1.10
2023-01-07 06:18:50,2023-01-01 06:30:52,1,5.61
2023-01-07 07:57:43,2023-01-01 08:03:09,1,1.35
2023-01-07 07:38:05,2023-01-01 07:45:46,1,2.10
2023-01-07 07:24:16,2023-01-01 07:32:40,5,2.13
2023-01-07 07:46:35,2023-01-01 07:56:08,1,4.00
2023-01-07 07:37:45,2023-01-01 07:47:43,1,6.47
2023-01-07 07:22:22,2023-01-01 07:44:27,1,14.24
2023-01-07 07:33:16,2023-01-01 07:40:22,1,2.02
2023-01-07 07:05:31,2023-01-01 07:25:13,1,4.80
2023-01-07 07:49:20,2023-01-01 07:57:47,1,2.26
2023-01-08 07:38:12,2023-01-01 07:43:04,2,0.67
2023-01-08 07:56:06,2023-01-01 08:22:01,1,15.52
2023-01-08 07:57:54,2023-01-01 08:15:47,1,7.77
2023-01-08 07:25:41,2023-01-01 07:39:25,2,10.36
2023-01-08 07:47:02,2023-01-01 08:18:40,2,7.68
2023-01-08 07:06:58,2023-01-01 07:23:19,1,0.00
2023-01-08 07:46:25,2023-01-01 07:50:15,1,1.20
2022-12-08 14:55:42,2022-12-09 15:33:06,1,5.48
2023-01-08 07:38:12,2023-01-01 07:46:16,1,1.95
2023-01-08 07:52:09,2023-01-01 07:56:18,1,0.69
2023-01-08 07:22:01,2023-01-01 07:32:33,1,5.19
2023-01-08 08:47:30,2023-01-01 08:56:31,1,1.78
2023-01-08 08:15:05,2023-01-01 08:37:08,1,12.43
2023-01-08 08:20:36,2023-01-01 08:23:40,1,0.62
2023-01-08 08:03:22,2023-01-01 08:12:09,1,2.00
2023-01-08 08:38:00,2023-01-01 08:49:01,1,2.80
2023-01-08 09:03:23,2023-01-01 09:13:14,1,2.95
2023-01-08 08:10:55,2023-01-01 08:16:16,5,0.85
2023-01-08 08:35:58,2023-01-01 08:41:47,5,0.54
2023-01-08 08:54:25,2023-01-01 08:58:42,1,0.59
2023-01-08 08:24:05,2023-01-01 08:31:50,1,1.09
2023-01-08 08:15:18,2023-01-01 08:37:43,1,3.67
2023-01-08 08:14:02,2023-01-01 08:28:29,1,4.79
2023-01-08 08:54:38,2023-01-01 08:58:21,1,0.76
2023-01-08 08:34:05,2023-01-01 08:45:14,1,7.10
2023-01-08 08:38:39,2023-01-01 08:43:56,1,2.20
2023-01-08 08:52:53,2023-01-01 09:00:01,1,3.12
2023-01-08 08:30:08,2023-01-01 08:59:43,1,3.66
2023-01-08 08:04:03,2023-01-01 08:18:32,1,4.00
2023-01-08 08:44:50,2023-01-01 09:03:27,1,9.40
2023-01-08 08:56:08,2023-01-01 09:03:44,1,1.13
2023-01-08 08:48:40,2023-01-01 08:48:49,2,0.02
2023-01-08 08:23:48,2023-01-01 08:39:43,1,4.40
2023-01-08 08:58:46,2023-01-01 09:02:26,1,0.87
2023-01-08 08:10:36,2023-01-01 08:16:46,1,1.70
2023-01-08 09:04:00,2023-01-01 09:09:59,1,1.27
2023-01-08 09:52:13,2023-01-01 09:58:41,1,1.69
2023-01-08 09:16:18,2023-01-01 09:26:20,1,2.89
2023-01-08 09:48:14,2023-01-01 09:51:26,1,1.31
2023-01-08 09:37:48,2023-01-01 09:40:23,1,1.13
2023-01-08 09:41:22,2023-01-01 09:49:35,1,4.02
2023-01-09 09:51:31,2023-01-01 09:56:04,1,1.08
2023-01-09 09:35:12,2023-01-01 09:47:56,1,0.00
2023-01-09 09:16:38,2023-01-01 09:21:26,1,1.00
2023-01-09 09:02:00,2023-01-01 09:03:56,1,0.90
2023-01-09 09:46:28,2023-01-01 09:53:38,1,1.60
2023-01-09 09:28:50,2023-01-01 09:42:14,1,3.50
2023-01-09 09:38:32,2023-01-01 09:43:57,1,1.22
2023-01-09 10:00:26,2023-01-01 10:03:14,1,0.55
